Título,Localización,Fecha,Salario,Formación,ID
"Ingeniero-a programador-a angular, 100% en remoto",Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,1839862196
Operador-a de red de nivel i,Madrid - España,04/04/2025,Sin especificar,Sin estudios,1839862215
"Desarrollador-a power apps, 100% en remoto",España,04/04/2025,45.000 - 48.000,Sin estudios,1839862181
"Analista ciberseguridad, 100% en remoto",Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,1839862382
"Gerente de cuentas junior, hibrido",Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,1839862395
"Consultor-a funcional - pasarela de pago, hibrido",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862357
"Arquitecto-a data, 100% en remoto",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862377
"Desarrollador-a bi, 100% en remoto",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862378
"Techno functional consultant, west midlands",Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,1839862412
"Security specialist (ciso), 100% en remoto",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862406
"Administrador-a de sistemas, presencial",Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,1839862196
"Cloud engineer, 100% en remoto",Madrid - España,04/04/2025,Sin especificar,Sin estudios,1839862215
"Programador-a python, 100% en remoto",España,04/04/2025,45.000 - 48.000,Sin estudios,1839862181
2 agentes comerciales de seguros(ref.8643).,Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,1839862382
"Integrations manager, republika bulgariya",Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,1839862395
Operador-a de red nivel i,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862357
"Scrum master (inglés avanzado), 100% en remoto",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862377
"Técnico-a cableado, presencial",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862378
"Product owner (data warehouse), utrecht",Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,1839862412
"Ingeniero-a de software, hibrido",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862406
"It specialist con inglés, madrid",Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,1839862196
Personal de limpieza con discapacidad,Madrid - España,04/04/2025,Sin especificar,Sin estudios,1839862215
Enfermeros especialistas en enfermería geriátrica. madrid.,España,04/04/2025,45.000 - 48.000,Sin estudios,1839862181
"Devops engineer (jenkins-gitlab), hibrido",Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,1839862382
"Consultor-a senior sap subvenciones, 100% en remoto",Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,1839862395
"Programadores junior-senior .net-angular, 100% en remoto",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862357
"Backend senior java, hibrido",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862377
"Data analyst, 100% en remoto",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862378
"Qa tester - banca (temenos core), 100% en remoto",Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,1839862412
"Analista programador-a cobol, málaga",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862406
"Analista pro. cobol cics db2 jcl, madrid",Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,1839862196
"Programador senior cobol, 100% en remoto",Madrid - España,04/04/2025,Sin especificar,Sin estudios,1839862215
"Sc cleared data engineer, london",España,04/04/2025,45.000 - 48.000,Sin estudios,1839862181
"Consultor cognos, 100% en remoto",Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,1839862382
"Certified automation tester, groningen",Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,1839862395
"Ingeniero-a de ciberseguridad, madrid",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862357
"Desarrollador c++ (junior), gipuzkoa",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862377
"Programador senior java backend, 100% en remoto",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862378
"Programador de microservicios, 100% en remoto",Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,1839862412
"Programador - programadora, 100% en remoto",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862406
"Experienced it auditor 100% (f-m-d), madrid",Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,1839862196
"Software engineering qa, hibrido",Madrid - España,04/04/2025,Sin especificar,Sin estudios,1839862215
"Backend engineer (java-springboot) f-m-d, madrid",España,04/04/2025,45.000 - 48.000,Sin estudios,1839862181
"Backend engineer (java-springboot) f-m-d, madrid",Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,1839862382
"Java fullstack engineer (focus backend), madrid",Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,1839862395
"Full stack java software engineer f-m-d, madrid",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862357
"Desarrollador-a junior salesforce, madrid",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862377
"Angular developer, 100% en remoto",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862378
"Senior backend developer, málaga",Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,1839862412
"Frontend (react-angular-typescript), madrid",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862406
"Ingeniero-a de sistemas y redes, presencial",Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,1839862196
"Infrastructure engineer, skåne",Madrid - España,04/04/2025,Sin especificar,Sin estudios,1839862215
"Java fullstack engineer (focus backend), madrid",España,04/04/2025,45.000 - 48.000,Sin estudios,1839862181
"Java fullstack engineer (focus frontend), madrid",Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,1839862382
"Java fullstack engineer (focus frontend), madrid",Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,1839862395
Ingeniero de proyectos (h-m),Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862357
Técnico de prevención de riesgos laborales junior_empresa industrial (h-m),Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862377
Operador-a soporte técnico (teleoperador-a),Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862378
Conductor camión unidades móviles de comunicaciones en unidad de emergencias y chofer de…,Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,1839862412
"Fullstack java (inglés), 100% en remoto",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862406
"Engineer azure data, 100% en remoto",Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,1839862196
"Operador amadeus altea - loyalty, 100% en remoto - primer empleo",Madrid - España,04/04/2025,Sin especificar,Sin estudios,1839862215
"Devops engineer, hibrido",España,04/04/2025,45.000 - 48.000,Sin estudios,1839862181
Peon ganadero,Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,1839862382
Peon ganadero,Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,1839862395
Chofer c y c+e,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862357
Operador maquinaria en cantera y obra,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862377
Camarera-o de piso avanzada-o | hoteles | 6710,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862378
Administrativo-a comercial,Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,1839862412
Dependiente florista,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862406
Peon agricola- cortador de sandia,Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,1839862196
Comercial de instalaciones fotovoltaicas y aerotermia,Madrid - España,04/04/2025,Sin especificar,Sin estudios,1839862215
Técnico-a multidisciplinar - beone leganés,España,04/04/2025,45.000 - 48.000,Sin estudios,1839862181
Instalador eléctrico guadalajara,Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,1839862382
Carretillero-a almacén materiales de construcción.,Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,1839862395
Camionero,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862357
Se busca data engineer para valladolid,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862377
Encargado-responsable bar-pub-coctelería zona tarragona,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862378
Monitor viajes en el extranjero,Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,1839862412
Paleta,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862406
Vigilantes-as de seguridad renfe guipuzcoa,Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,1839862196
Vigilantes-as de seguridad - tudela,Madrid - España,04/04/2025,Sin especificar,Sin estudios,1839862215
Operario de almacén - palista,España,04/04/2025,45.000 - 48.000,Sin estudios,1839862181
Vigilantes-as de seguridad- renfe vitoria,Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,1839862382
Repartidor en camion,Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,1839862395
Cocinero-a,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862357
Camarera-o 40h cafeteria tres cantos,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862377
Dependiente - administrativo-a con discapacidad,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862378
Formador-a de formación profesional para el empleo,Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,1839862412
Jardinero-a con discapacidad mínima del 33% para fuengirola,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862406
Comercial con discapacidad,Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,1839862196
Administrativo para tratamiento de documentación para gestión en archivo,Madrid - España,04/04/2025,Sin especificar,Sin estudios,1839862215
Operario de bodega san antonio de padua sdad. coop. de clm,España,04/04/2025,45.000 - 48.000,Sin estudios,1839862181
Carnicero deshuesador oficial de primera,Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,1839862382
Trabajador agricola,Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,1839862395
Jardinero-a con discapacidad mínimo del 33% para estepona,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862357
Educador-a ambiental - balears,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862377
Oficiales en calderería y soldadura,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862378
Contable,Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,1839862412
Ingenieros y delineantes para departamento técnico,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862406
Panadero,Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,1839862196
"Conductor camion- castellon de rugat, valencia",Madrid - España,04/04/2025,Sin especificar,Sin estudios,1839862215
Oferta de trabajo para cocinero-ayudante de cocina,España,04/04/2025,45.000 - 48.000,Sin estudios,1839862181
Oferta ayudante de panaderia-reposteria,Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,1839862382
Sales closer,Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,1839862395
Agente de seguros especialista en salud (cádiz),Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862357
Técnico de soporte de operaciones logísticas,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862377
Agente de seguros especialista en salud (málaga),Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862378
Técnico-a de recursos humanos,Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,1839862412
Peon agrario,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862406
Peluquero-a canino,Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,1839862196
Proyección de mortero,Madrid - España,04/04/2025,Sin especificar,Sin estudios,1839862215
Empleada hogar interna,España,04/04/2025,45.000 - 48.000,Sin estudios,1839862181
Pintor a pistola,Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,1839862382
Asesor comercial (h-m),Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,1839862395
Dependiente-repartidor tienda de pinturas zaragoza,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862357
Jefe ejecutivo de cocina,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,1839862377
